algorithm,n,trials,time_ns,depth,comparisons,allocations
mergesort,1000,5,2858100,6,10405,1
mergesort,10000,5,15517800,10,127243,1
mergesort,100000,5,156434700,13,1638621,1
quicksort,1000,5,3299700,6,11838,2
quicksort,10000,5,30432700,9,156523,2
quicksort,100000,5,124117200,11,2051361,2
select,1000,5,2824800,4,3993,16
select,10000,5,11378100,5,81183,183
select,100000,5,45951600,7,839978,845
closest,1000,5,31934400,9,11288,2
closest,10000,5,123918200,12,175829,2
closest,100000,5,808771600,16,2524505,2
